an;mois;nation;pecherie;nbrjour
2019;3;Indonesienne;Peche cotiere cephalopodes;9
2019;5;Mauritanienne;Peche hauturiere cephalopodes ;9
2019;7;Turque;Peche hauturiere cephalopodes ;9
2019;9;SAMOA;Peche hauturiere cephalopodes ;9
2020;3;Chinoise;Peche hauturiere cephalopodes ;9
2021;7;mauritanienne;Peche hauturiere cephalopodes ;9
2021;10;Mauritanienne;Peche hauturiere cephalopodes ;9
2019;8;Indonesienne;Peche hauturiere cephalopodes ;8
2019;11;MAURITANIENNE;Peche hauturiere cephalopodes ;8
2019;10;Mauritanienne;Peche hauturiere cephalopodes ;6
2019;10;MAURITANIENNE;Peche hauturiere cephalopodes ;6
2019;12;Turque;Peche hauturiere cephalopodes ;6
2020;7;Chinoise;Peche hauturiere cephalopodes ;6
2021;5;Mauritanienne;Peche hauturiere cephalopodes ;6
2019;5;Indonesienne;Peche cotiere cephalopodes;5
2019;6;MAURITANIENNE;Peche hauturiere cephalopodes ;5
2022;10;Mauritanienne;Peche cotiere cephalopodes;5
2019;5;Chinoise;Peche hauturiere cephalopodes ;3
2019;12;Indonesienne;Peche hauturiere cephalopodes ;3
2021;11;Mauritanienne;Peche hauturiere cephalopodes ;3
2022;10;Mauritanienne;Peche hauturiere cephalopodes ;3
2019;6;Mauritanienne;Peche hauturiere cephalopodes ;2
2020;11;Mauritanienne;Peche hauturiere cephalopodes ;2
2022;5;Mauritanienne;Peche hauturiere cephalopodes ;2
2019;3;TURQUE;Peche hauturiere cephalopodes ;1
2019;7;Belizienne;Peche hauturiere cephalopodes ;1
